Song Name,Artist Name,Release Date,Genres,Tracks,Popularity,Album Name,Album Type,Song Duration (ms)
vampire,Olivia Rodrigo,2023-09-08,pop,"all-american bitch, bad idea right?, vampire, lacy, ballad of a homeschooled girl, making the bed, logical, get him back!, love is embarrassing, the grudge, pretty isn’t pretty, teenage dream",86,GUTS,album,219724
traitor,Olivia Rodrigo,2021-05-21,pop,"brutal, traitor, drivers license, 1 step forward, 3 steps back, deja vu, good 4 u, enough for you, happier, jealousy, jealousy, favorite crime, hope ur ok",84,SOUR,album,229226
deja vu,Olivia Rodrigo,2021-05-21,pop,"brutal, traitor, drivers license, 1 step forward, 3 steps back, deja vu, good 4 u, enough for you, happier, jealousy, jealousy, favorite crime, hope ur ok",84,SOUR,album,215506
drivers license,Olivia Rodrigo,2021-05-21,pop,"brutal, traitor, drivers license, 1 step forward, 3 steps back, deja vu, good 4 u, enough for you, happier, jealousy, jealousy, favorite crime, hope ur ok",83,SOUR,album,242013
obsessed,Olivia Rodrigo,2024-03-22,pop,"all-american bitch, bad idea right?, vampire, lacy, ballad of a homeschooled girl, making the bed, logical, get him back!, love is embarrassing, the grudge, pretty isn’t pretty, teenage dream, obsessed, girl i’ve always been, scared of my guitar, stranger, so american",83,GUTS (spilled),album,170541
good 4 u,Olivia Rodrigo,2021-05-21,pop,"brutal, traitor, drivers license, 1 step forward, 3 steps back, deja vu, good 4 u, enough for you, happier, jealousy, jealousy, favorite crime, hope ur ok",83,SOUR,album,178146
favorite crime,Olivia Rodrigo,2021-05-21,pop,"brutal, traitor, drivers license, 1 step forward, 3 steps back, deja vu, good 4 u, enough for you, happier, jealousy, jealousy, favorite crime, hope ur ok",83,SOUR,album,152666
happier,Olivia Rodrigo,2021-05-21,pop,"brutal, traitor, drivers license, 1 step forward, 3 steps back, deja vu, good 4 u, enough for you, happier, jealousy, jealousy, favorite crime, hope ur ok",82,SOUR,album,175933
"jealousy, jealousy",Olivia Rodrigo,2021-05-21,pop,"brutal, traitor, drivers license, 1 step forward, 3 steps back, deja vu, good 4 u, enough for you, happier, jealousy, jealousy, favorite crime, hope ur ok",81,SOUR,album,173160
bad idea right?,Olivia Rodrigo,2023-09-08,pop,"all-american bitch, bad idea right?, vampire, lacy, ballad of a homeschooled girl, making the bed, logical, get him back!, love is embarrassing, the grudge, pretty isn’t pretty, teenage dream",80,GUTS,album,184783
My Universe,BTS,2021-10-15,"k-pop, k-pop boy group, pop","🪐, Higher Power, Humankind, ✨, Let Somebody Go, ❤️, People of The Pride, Biutyful, 🌎, My Universe, ♾, Coloratura",76,Music Of The Spheres,album,226198
Dynamite,BTS,2020-11-20,"k-pop, k-pop boy group, pop","Life Goes On, Fly To My Room, Blue & Grey, Skit, Telepathy, Dis-ease, Stay, Dynamite",79,BE,album,199053
Left and Right (Feat. Jung Kook of BTS),BTS,2022-10-06,"k-pop, k-pop boy group, pop","That's Hilarious, Charlie Be Quiet!, Light Switch, There’s A First Time For Everything, Smells Like Me, Left and Right (Feat. Jung Kook of BTS), Loser, When You’re Sad I’m Sad, Marks On My Neck, Tears On My Piano, I Don’t Think That I Like Her, No More Drama",76,CHARLIE,album,154486
FAKE LOVE,BTS,2018-05-18,"k-pop, k-pop boy group, pop","Intro: Singularity, FAKE LOVE, The Truth Untold (feat. Steve Aoki), 134340, Paradise, Love Maze, Magic Shop, Airplane pt.2, Anpanman, So What, Outro: Tear",75,Love Yourself 轉 'Tear',album,242333
Butter,BTS,2022-06-10,"k-pop, k-pop boy group, pop","Born Singer, No More Dream, N.O, Boy In Luv, Danger, I NEED U, RUN, Burning Up (FIRE), Blood Sweat & Tears, Spring Day, DNA, FAKE LOVE, IDOL, Boy With Luv (Feat. Halsey), ON, Dynamite, Life Goes On, Butter, Yet To Come, Run BTS",74,Proof,album,164952
Boy With Luv (feat. Halsey),BTS,2019-04-12,"k-pop, k-pop boy group, pop","Intro : Persona, Boy With Luv (feat. Halsey), Mikrokosmos, Make It Right, HOME, Jamais Vu, Dionysus",75,MAP OF THE SOUL : PERSONA,album,229773
Life Goes On,BTS,2020-11-20,"k-pop, k-pop boy group, pop","Life Goes On, Fly To My Room, Blue & Grey, Skit, Telepathy, Dis-ease, Stay, Dynamite",74,BE,album,207481
Run BTS,BTS,2022-06-10,"k-pop, k-pop boy group, pop","Born Singer, No More Dream, N.O, Boy In Luv, Danger, I NEED U, RUN, Burning Up (FIRE), Blood Sweat & Tears, Spring Day, DNA, FAKE LOVE, IDOL, Boy With Luv (Feat. Halsey), ON, Dynamite, Life Goes On, Butter, Yet To Come, Run BTS",75,Proof,album,204939
Spring Day,BTS,2017-02-13,"k-pop, k-pop boy group, pop","Intro: Boy Meets Evil, Blood Sweat & Tears, Begin, Lie, Stigma, First Love, Reflection, MAMA, Awake, Lost, BTS Cypher 4, Am I Wrong, 21st Century Girl, 2! 3!, Spring Day, Not Today, Outro: Wings, A Supplementary Story: You Never Walk Alone",73,You Never Walk Alone,album,274097
Take Two,BTS,2023-06-09,"k-pop, k-pop boy group, pop",Take Two,74,Take Two,single,229953
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,2023-06-23,"canadian contemporary r&b, canadian pop, pop","One Of The Girls (with JENNIE, Lily Rose Depp), Jealous Guy, Fill The Void (with Lily Rose Depp, Ramsey)",91,The Idol Episode 4 (Music from the HBO Original Series),single,244684
Starboy,The Weeknd,2016-11-25,"canadian contemporary r&b, canadian pop, pop","Starboy, Party Monster, False Alarm, Reminder, Rockin’, Secrets, True Colors, Stargirl Interlude, Sidewalks, Six Feet Under, Love To Lay, A Lonely Night, Attention, Ordinary Life, Nothing Without You, All I Know, Die For You, I Feel It Coming",88,Starboy,album,230453
Blinding Lights,The Weeknd,2020-03-20,"canadian contemporary r&b, canadian pop, pop","Alone Again, Too Late, Hardest To Love, Scared To Live, Snowchild, Escape From LA, Heartless, Faith, Blinding Lights, In Your Eyes, Save Your Tears, Repeat After Me (Interlude), After Hours, Until I Bleed Out",88,After Hours,album,200040
Die For You,The Weeknd,2016-11-24,"canadian contemporary r&b, canadian pop, pop","Starboy, Party Monster, False Alarm, Reminder, Rockin’, Secrets, True Colors, Stargirl Interlude, Sidewalks, Six Feet Under, Love To Lay, A Lonely Night, Attention, Ordinary Life, Nothing Without You, All I Know, Die For You, I Feel It Coming",84,Starboy,album,260253
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,2023-06-02,"canadian contemporary r&b, canadian pop, pop",Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),85,Popular (Music from the HBO Original Series),single,215466
Stargirl Interlude,The Weeknd,2016-11-24,"canadian contemporary r&b, canadian pop, pop","Starboy, Party Monster, False Alarm, Reminder, Rockin’, Secrets, True Colors, Stargirl Interlude, Sidewalks, Six Feet Under, Love To Lay, A Lonely Night, Attention, Ordinary Life, Nothing Without You, All I Know, Die For You, I Feel It Coming",83,Starboy,album,111626
Save Your Tears,The Weeknd,2020-03-20,"canadian contemporary r&b, canadian pop, pop","Alone Again, Too Late, Hardest To Love, Scared To Live, Snowchild, Escape From LA, Heartless, Faith, Blinding Lights, In Your Eyes, Save Your Tears, Repeat After Me (Interlude), After Hours, Until I Bleed Out",84,After Hours,album,215626
The Hills,The Weeknd,2015-08-28,"canadian contemporary r&b, canadian pop, pop","Real Life, Losers, Tell Your Friends, Often, The Hills, Acquainted, Can't Feel My Face, Shameless, Earned It (Fifty Shades Of Grey), In The Night, As You Are, Dark Times, Prisoner, Angel",84,Beauty Behind The Madness,album,242253
Creepin' (with The Weeknd & 21 Savage),The Weeknd,2022-12-02,"canadian contemporary r&b, canadian pop, pop","On Time (with John Legend), Superhero (Heroes & Villains) [with Future & Chris Brown], Too Many Nights (feat. Don Toliver & with Future), Raindrops (Insane) [with Travis Scott], Umbrella (with 21 Savage & Young Nudy), Trance (with Travis Scott & Young Thug), Around Me (feat. Don Toliver), Metro Spider (with Young Thug), I Can't Save You (Interlude) [with Future & feat. Don Toliver], Creepin' (with The Weeknd & 21 Savage), Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage], Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa], Lock On Me (with Travis Scott & Future), Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff), All The Money (with Gunna) [Bonus]",84,HEROES & VILLAINS,album,221520
Call Out My Name,The Weeknd,2018-03-30,"canadian contemporary r&b, canadian pop, pop","Call Out My Name, Try Me, Wasted Times, I Was Never There, Hurt You, Privilege, Call Out My Name - A Cappella",83,"My Dear Melancholy,",album,228373
Perfect,Ed Sheeran,2017-03-03,"pop, singer-songwriter pop, uk pop","Eraser, Castle on the Hill, Dive, Shape of You, Perfect, Galway Girl, Happier, New Man, Hearts Don't Break Around Here, What Do I Know?, How Would You Feel (Paean), Supermarket Flowers, Barcelona, Bibia Be Ye Ye, Nancy Mulligan, Save Myself",85,÷ (Deluxe),album,263400
Shape of You,Ed Sheeran,2017-03-03,"pop, singer-songwriter pop, uk pop","Eraser, Castle on the Hill, Dive, Shape of You, Perfect, Galway Girl, Happier, New Man, Hearts Don't Break Around Here, What Do I Know?, How Would You Feel (Paean), Supermarket Flowers, Barcelona, Bibia Be Ye Ye, Nancy Mulligan, Save Myself",85,÷ (Deluxe),album,233712
Photograph,Ed Sheeran,2014-06-21,"pop, singer-songwriter pop, uk pop","One, I'm a Mess, Sing, Don't, Nina, Photograph, Bloodstream, Tenerife Sea, Runaway, The Man, Thinking out Loud, Afire Love, Take It Back, Shirtsleeves, Even My Dad Does Sometimes, I See Fire",82,x (Deluxe Edition),album,258986
Shivers,Ed Sheeran,2021-10-25,"pop, singer-songwriter pop, uk pop","Tides, Shivers, First Times, Bad Habits, Overpass Graffiti, The Joker And The Queen, Leave Your Life, Collide, 2step, Stop The Rain, Love In Slow Motion, Visiting Hours, Sandman, Be Right Now",82,=,album,207853
Thinking out Loud,Ed Sheeran,2014-06-21,"pop, singer-songwriter pop, uk pop","One, I'm a Mess, Sing, Don't, Nina, Photograph, Bloodstream, Tenerife Sea, Runaway, The Man, Thinking out Loud, Afire Love, Take It Back, Shirtsleeves, Even My Dad Does Sometimes, I See Fire",80,x (Deluxe Edition),album,281560
Bad Habits,Ed Sheeran,2021-10-25,"pop, singer-songwriter pop, uk pop","Tides, Shivers, First Times, Bad Habits, Overpass Graffiti, The Joker And The Queen, Leave Your Life, Collide, 2step, Stop The Rain, Love In Slow Motion, Visiting Hours, Sandman, Be Right Now",80,=,album,230746
Bam Bam (feat. Ed Sheeran),Ed Sheeran,2022-04-07,"pop, singer-songwriter pop, uk pop","Familia, Celia, psychofreak (feat. WILLOW), Bam Bam (feat. Ed Sheeran), La Buena Vida, Quiet, Boys Don't Cry, Hasta Los Dientes, No Doubt, Don't Go Yet, Lola (feat. Yotuel), everyone at this party",71,Familia,album,206070
Castle on the Hill,Ed Sheeran,2017-03-03,"pop, singer-songwriter pop, uk pop","Eraser, Castle on the Hill, Dive, Shape of You, Perfect, Galway Girl, Happier, New Man, Hearts Don't Break Around Here, What Do I Know?, How Would You Feel (Paean), Supermarket Flowers, Barcelona, Bibia Be Ye Ye, Nancy Mulligan, Save Myself",77,÷ (Deluxe),album,261153
I Don't Care (with Justin Bieber),Ed Sheeran,2019-07-12,"pop, singer-songwriter pop, uk pop","Beautiful People (feat. Khalid), South of the Border (feat. Camila Cabello & Cardi B), Cross Me (feat. Chance the Rapper & PnB Rock), Take Me Back to London (feat. Stormzy), Best Part of Me (feat. YEBBA), I Don't Care (with Justin Bieber), Antisocial (with Travis Scott), Remember The Name (feat. Eminem & 50 Cent), Feels (feat. Young Thug & J Hus), Put It All on Me (feat. Ella Mai), Nothing On You (feat. Paulo Londra & Dave), I Don't Want Your Money (feat. H.E.R.), 1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie), Way To Break My Heart (feat. Skrillex), BLOW (with Chris Stapleton & Bruno Mars)",69,No.6 Collaborations Project,album,219946
Galway Girl,Ed Sheeran,2017-03-03,"pop, singer-songwriter pop, uk pop","Eraser, Castle on the Hill, Dive, Shape of You, Perfect, Galway Girl, Happier, New Man, Hearts Don't Break Around Here, What Do I Know?, How Would You Feel (Paean), Supermarket Flowers, Barcelona, Bibia Be Ye Ye, Nancy Mulligan, Save Myself",77,÷ (Deluxe),album,170826
One Dance,Drake,2016-05-06,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Keep The Family Close, 9, U With Me?, Feel No Ways, Hype, Weston Road Flows, Redemption, With You, Faithful, Still Here, Controlla, One Dance, Grammys, Childs Play, Pop Style, Too Good, Summers Over Interlude, Fire & Desire, Views, Hotline Bling",87,Views,album,173986
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,2023-10-06,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Virginia Beach, Amen (feat. Teezo Touchdown), Calling For You (feat. 21 Savage), Fear Of Heights, Daylight, First Person Shooter (feat. J. Cole), IDGAF (feat. Yeat), 7969 Santa, Slime You Out (feat. SZA), Bahamas Promises, Tried Our Best, Screw The World - Interlude, Drew A Picasso, Members Only (feat. PARTYNEXTDOOR), What Would Pluto Do, All The Parties (feat. Chief Keef), 8am in Charlotte, BBL Love - Interlude, Gently (feat. Bad Bunny), Rich Baby Daddy (feat. Sexyy Red & SZA)",82,For All The Dogs,album,319191
Push Ups,Drake,2024-04-19,"canadian hip hop, canadian pop, hip hop, pop rap, rap",Push Ups,82,Push Ups,single,232774
Family Matters,Drake,2024-05-03,"canadian hip hop, canadian pop, hip hop, pop rap, rap",Family Matters,82,Family Matters,single,456933
Jimmy Cooks (feat. 21 Savage),Drake,2022-06-17,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Intro, Falling Back, Texts Go Green, Currents, A Keeper, Calling My Name, Sticky, Massive, Flight's Booked, Overdrive, Down Hill, Tie That Binds, Liability, Jimmy Cooks (feat. 21 Savage)",82,"Honestly, Nevermind",album,218364
WAIT FOR U (feat. Drake & Tems),Drake,2022-04-29,"canadian hip hop, canadian pop, hip hop, pop rap, rap","712PM, I'M DAT N****, KEEP IT BURNIN (feat. Kanye West), FOR A NUT (feat. Gunna & Young Thug), PUFFIN ON ZOOTIEZ, GOLD STACKS, WAIT FOR U (feat. Drake & Tems), LOVE YOU BETTER, MASSAGING ME, CHICKENS (feat. EST Gee), WE JUS WANNA GET HIGH, VOODOO (feat. Kodak Black), HOLY GHOST, THE WAY THINGS GOING, I'M ON ONE (feat. Drake), BACK TO THE BASICS",82,I NEVER LIKED YOU,album,189893
Passionfruit,Drake,2017-03-18,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Free Smoke, No Long Talk, Passionfruit, Jorja Interlude, Get It Together, Madiba Riddim, Blem, 4422, Gyalchester, Skepta Interlude, Portland, Sacrifices, Nothings Into Somethings, Teenage Fever, KMT, Lose You, Can't Have Everything, Glow, Since Way Back, Fake Love",81,More Life,album,298940
God's Plan,Drake,2018-06-29,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Survival, Nonstop, Elevate, Emotionless, God's Plan, I'm Upset, 8 Out Of 10, Mob Ties, Can’t Take A Joke, Sandra’s Rose, Talk Up (feat. Jay-Z), Is There More, Peak, Summer Games, Jaded, Nice For What, Finesse, Ratchet Happy Birthday, That’s How You Feel, Blue Tint",81,Scorpion,album,198973
IDGAF (feat. Yeat),Drake,2023-10-06,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Virginia Beach, Amen (feat. Teezo Touchdown), Calling For You (feat. 21 Savage), Fear Of Heights, Daylight, First Person Shooter (feat. J. Cole), IDGAF (feat. Yeat), 7969 Santa, Slime You Out (feat. SZA), Bahamas Promises, Tried Our Best, Screw The World - Interlude, Drew A Picasso, Members Only (feat. PARTYNEXTDOOR), What Would Pluto Do, All The Parties (feat. Chief Keef), 8am in Charlotte, BBL Love - Interlude, Gently (feat. Bad Bunny), Rich Baby Daddy (feat. Sexyy Red & SZA)",80,For All The Dogs,album,260111
First Person Shooter (feat. J. Cole),Drake,2023-10-06,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Virginia Beach, Amen (feat. Teezo Touchdown), Calling For You (feat. 21 Savage), Fear Of Heights, Daylight, First Person Shooter (feat. J. Cole), IDGAF (feat. Yeat), 7969 Santa, Slime You Out (feat. SZA), Bahamas Promises, Tried Our Best, Screw The World - Interlude, Drew A Picasso, Members Only (feat. PARTYNEXTDOOR), What Would Pluto Do, All The Parties (feat. Chief Keef), 8am in Charlotte, BBL Love - Interlude, Gently (feat. Bad Bunny), Rich Baby Daddy (feat. Sexyy Red & SZA)",79,For All The Dogs,album,247444
we can't be friends (wait for your love),Ariana Grande,2024-03-08,pop,"intro (end of the world), bye, don't wanna break up again, Saturn Returns Interlude, eternal sunshine, supernatural, true story, the boy is mine, yes, and?, we can't be friends (wait for your love), i wish i hated you, imperfect for you, ordinary things (feat. Nonna)",90,eternal sunshine,album,228639
the boy is mine,Ariana Grande,2024-03-08,pop,"intro (end of the world), bye, don't wanna break up again, Saturn Returns Interlude, eternal sunshine, supernatural, true story, the boy is mine, yes, and?, we can't be friends (wait for your love), i wish i hated you, imperfect for you, ordinary things (feat. Nonna)",87,eternal sunshine,album,173639
intro (end of the world),Ariana Grande,2024-03-08,pop,"intro (end of the world), bye, don't wanna break up again, Saturn Returns Interlude, eternal sunshine, supernatural, true story, the boy is mine, yes, and?, we can't be friends (wait for your love), i wish i hated you, imperfect for you, ordinary things (feat. Nonna)",85,eternal sunshine,album,92400
"yes, and?",Ariana Grande,2024-03-08,pop,"intro (end of the world), bye, don't wanna break up again, Saturn Returns Interlude, eternal sunshine, supernatural, true story, the boy is mine, yes, and?, we can't be friends (wait for your love), i wish i hated you, imperfect for you, ordinary things (feat. Nonna)",80,eternal sunshine,album,214994
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,Ariana Grande,2020-03-20,pop,"Alone Again, Too Late, Hardest To Love, Scared To Live, Snowchild, Escape From LA, Heartless, Faith, Blinding Lights, In Your Eyes, Save Your Tears, Repeat After Me (Interlude), After Hours, Until I Bleed Out, Nothing Compares - Bonus Track, Missed You - Bonus Track, Final Lullaby - Bonus Track, Save Your Tears (Remix) (with Ariana Grande) - Bonus Track",79,After Hours (Deluxe),album,191013
Die For You (with Ariana Grande) - Remix,Ariana Grande,2023-03-14,pop,"Starboy (feat. Daft Punk), Party Monster, False Alarm, Reminder, Rockin’, Secrets, True Colors, Stargirl Interlude (feat. Lana Del Rey), Sidewalks (feat. Kendrick Lamar), Six Feet Under, Love To Lay, A Lonely Night, Attention, Ordinary Life, Nothing Without You, All I Know (feat. Future), Die For You, I Feel It Coming (feat. Daft Punk), Die For You (with Ariana Grande) - Remix, Starboy (feat. Daft Punk) - Kygo Remix",78,Starboy (Deluxe),album,232857
One Last Time,Ariana Grande,2014-08-22,pop,"Intro, Problem, One Last Time, Why Try, Break Free, Best Mistake, Be My Baby, Break Your Heart Right Back, Love Me Harder, Just A Little Bit Of Your Heart, Hands On Me, My Everything, Bang Bang, Only 1, You Don't Know Me",82,My Everything (Deluxe),album,197266
7 rings,Ariana Grande,2019-02-08,pop,"imagine, needy, NASA, bloodline, fake smile, bad idea, make up, ghostin, in my head, 7 rings, thank u, next, break up with your girlfriend, i'm bored",81,"thank u, next",album,178626
Dangerous Woman,Ariana Grande,2016-04-01,pop,"Moonlight, Dangerous Woman, Be Alright, Into You, Side To Side, Let Me Love You, Greedy, Leave Me Lonely, Everyday, Sometimes, I Don't Care, Bad Decisions, Touch It, Knew Better / Forever Boy, Thinking Bout You",78,Dangerous Woman,album,235946
bye,Ariana Grande,2024-03-08,pop,"intro (end of the world), bye, don't wanna break up again, Saturn Returns Interlude, eternal sunshine, supernatural, true story, the boy is mine, yes, and?, we can't be friends (wait for your love), i wish i hated you, imperfect for you, ordinary things (feat. Nonna)",80,eternal sunshine,album,164927
Fortnight (feat. Post Malone),Taylor Swift,2024-04-18,pop,"Fortnight (feat. Post Malone), The Tortured Poets Department, My Boy Only Breaks His Favorite Toys, Down Bad, So Long, London, But Daddy I Love Him, Fresh Out The Slammer, Florida!!! (feat. Florence + The Machine), Guilty as Sin?, Who’s Afraid of Little Old Me?, I Can Fix Him (No Really I Can), loml, I Can Do It With a Broken Heart, The Smallest Man Who Ever Lived, The Alchemy, Clara Bow",92,THE TORTURED POETS DEPARTMENT,album,228965
Cruel Summer,Taylor Swift,2019-08-23,pop,"I Forgot That You Existed, Cruel Summer, Lover, The Man, The Archer, I Think He Knows, Miss Americana & The Heartbreak Prince, Paper Rings, Cornelia Street, Death By A Thousand Cuts, London Boy, Soon You’ll Get Better (feat. The Chicks), False God, You Need To Calm Down, Afterglow, ME! (feat. Brendon Urie of Panic! At The Disco), It’s Nice To Have A Friend, Daylight",92,Lover,album,178426
I Can Do It With a Broken Heart,Taylor Swift,2024-04-18,pop,"Fortnight (feat. Post Malone), The Tortured Poets Department, My Boy Only Breaks His Favorite Toys, Down Bad, So Long, London, But Daddy I Love Him, Fresh Out The Slammer, Florida!!! (feat. Florence + The Machine), Guilty as Sin?, Who’s Afraid of Little Old Me?, I Can Fix Him (No Really I Can), loml, I Can Do It With a Broken Heart, The Smallest Man Who Ever Lived, The Alchemy, Clara Bow",88,THE TORTURED POETS DEPARTMENT,album,218004
Down Bad,Taylor Swift,2024-04-18,pop,"Fortnight (feat. Post Malone), The Tortured Poets Department, My Boy Only Breaks His Favorite Toys, Down Bad, So Long, London, But Daddy I Love Him, Fresh Out The Slammer, Florida!!! (feat. Florence + The Machine), Guilty as Sin?, Who’s Afraid of Little Old Me?, I Can Fix Him (No Really I Can), loml, I Can Do It With a Broken Heart, The Smallest Man Who Ever Lived, The Alchemy, Clara Bow",83,THE TORTURED POETS DEPARTMENT,album,261228
Guilty as Sin?,Taylor Swift,2024-04-18,pop,"Fortnight (feat. Post Malone), The Tortured Poets Department, My Boy Only Breaks His Favorite Toys, Down Bad, So Long, London, But Daddy I Love Him, Fresh Out The Slammer, Florida!!! (feat. Florence + The Machine), Guilty as Sin?, Who’s Afraid of Little Old Me?, I Can Fix Him (No Really I Can), loml, I Can Do It With a Broken Heart, The Smallest Man Who Ever Lived, The Alchemy, Clara Bow",82,THE TORTURED POETS DEPARTMENT,album,254365
Who’s Afraid of Little Old Me?,Taylor Swift,2024-04-18,pop,"Fortnight (feat. Post Malone), The Tortured Poets Department, My Boy Only Breaks His Favorite Toys, Down Bad, So Long, London, But Daddy I Love Him, Fresh Out The Slammer, Florida!!! (feat. Florence + The Machine), Guilty as Sin?, Who’s Afraid of Little Old Me?, I Can Fix Him (No Really I Can), loml, I Can Do It With a Broken Heart, The Smallest Man Who Ever Lived, The Alchemy, Clara Bow",81,THE TORTURED POETS DEPARTMENT,album,334084
"So Long, London",Taylor Swift,2024-04-18,pop,"Fortnight (feat. Post Malone), The Tortured Poets Department, My Boy Only Breaks His Favorite Toys, Down Bad, So Long, London, But Daddy I Love Him, Fresh Out The Slammer, Florida!!! (feat. Florence + The Machine), Guilty as Sin?, Who’s Afraid of Little Old Me?, I Can Fix Him (No Really I Can), loml, I Can Do It With a Broken Heart, The Smallest Man Who Ever Lived, The Alchemy, Clara Bow",79,THE TORTURED POETS DEPARTMENT,album,262974
My Boy Only Breaks His Favorite Toys,Taylor Swift,2024-04-18,pop,"Fortnight (feat. Post Malone), The Tortured Poets Department, My Boy Only Breaks His Favorite Toys, Down Bad, So Long, London, But Daddy I Love Him, Fresh Out The Slammer, Florida!!! (feat. Florence + The Machine), Guilty as Sin?, Who’s Afraid of Little Old Me?, I Can Fix Him (No Really I Can), loml, I Can Do It With a Broken Heart, The Smallest Man Who Ever Lived, The Alchemy, Clara Bow",79,THE TORTURED POETS DEPARTMENT,album,203801
But Daddy I Love Him,Taylor Swift,2024-04-18,pop,"Fortnight (feat. Post Malone), The Tortured Poets Department, My Boy Only Breaks His Favorite Toys, Down Bad, So Long, London, But Daddy I Love Him, Fresh Out The Slammer, Florida!!! (feat. Florence + The Machine), Guilty as Sin?, Who’s Afraid of Little Old Me?, I Can Fix Him (No Really I Can), loml, I Can Do It With a Broken Heart, The Smallest Man Who Ever Lived, The Alchemy, Clara Bow",79,THE TORTURED POETS DEPARTMENT,album,340428
Lover,Taylor Swift,2019-08-23,pop,"I Forgot That You Existed, Cruel Summer, Lover, The Man, The Archer, I Think He Knows, Miss Americana & The Heartbreak Prince, Paper Rings, Cornelia Street, Death By A Thousand Cuts, London Boy, Soon You’ll Get Better (feat. The Chicks), False God, You Need To Calm Down, Afterglow, ME! (feat. Brendon Urie of Panic! At The Disco), It’s Nice To Have A Friend, Daylight",86,Lover,album,221306
Paint The Town Red,Doja Cat,2023-09-20,"dance pop, pop","Paint The Town Red, Demons, Wet Vagina, Fuck The Girls (FTG), Ouchies, 97, Gun, Go Off, Agora Hills, Can't Wait, Often, Love Life, Skull And Bones, Attention, Balut",80,Scarlet,album,230480
